설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,그늘막유형,세부위치,설치년도,전체높이,펼침지름,관리기관명,관리기관전화번호,데이터기준일자
대봉교 교통섬,대구광역시,남구,"대구광역시 남구 명덕로330, (이천동)",대구광역시 남구 이천동 121-379,35.85493819,128.6061918,스마트그늘막,,2020,3,4,대구광역시 남구청,053-664-2924,2024-09-09
희망교 교통섬,대구광역시,남구,,대구광역시 남구 이천동 559-12,35.84909982,128.6039663,스마트그늘막,,2020,3,4,대구광역시 남구청,053-664-2924,2024-09-09
건들바위네거리(이천동행복센터 방향),대구광역시,남구,"대구광역시 남구 명덕로262, (이천동)",대구광역시 남구 이천동 392-4,35.85530093,128.5985773,접이식그늘막,,2018,3.3,4,대구광역시 남구청,053-664-2924,2024-09-09
건들바위네거리(서봉사 방향),대구광역시,남구,"대구광역시 남구 이천로159, (이천동)",대구광역시 남구 이천동 437-6,35.85539448,128.5978916,접이식그늘막,,2018,3.3,4,대구광역시 남구청,053-664-2924,2024-09-09
봉명네거리(현대블루핸즈 방향),대구광역시,남구,"대구광역시 남구 이천로75, (봉덕동)",대구광역시 남구 봉덕동 496-7,35.84811918,128.5982132,스마트그늘막,,2019,4,4,대구광역시 남구청,053-664-2924,2024-09-09
남구청네거리(kb국민은행앞),대구광역시,남구,"대구광역시 남구 이천로46, (봉덕동)",대구광역시 남구 봉덕동 606-11,35.84510737,128.5984894,접이식그늘막,,2018,3.3,4,대구광역시 남구청,053-664-2924,2024-09-09
상동교교차로(래미안웰리스트 방향),대구광역시,남구,,대구광역시 남구 봉덕동 1617-18,35.83505995,128.6052155043,접이식그늘막,,2018,3.3,4,대구광역시 남구청,053-664-2924,2024-09-09
헬기장교차로(카젠정비소 방향),대구광역시,남구,,대구광역시 남구 봉덕동 626-8,35.84092632,128.5982698,스마트그늘막,,2019,3,5,대구광역시 남구청,053-664-2924,2024-09-09
남구청네거리(남경북약국 앞),대구광역시,남구,"대구광역시 남구 이천로40, (봉덕동)",대구광역시 남구 봉덕동 610-4,35.84453962,128.5984741,접이식그늘막,,2018,3.3,4,대구광역시 남구청,053-664-2924,2024-09-09
남구청네거리(t월드대리점 앞),대구광역시,남구,"대구광역시 남구 이천로39, (봉덕동)",대구광역시 남구 봉덕동 632-1,35.84457799,128.5980094,접이식그늘막,,2018,3.3,4,대구광역시 남구청,053-664-2924,2024-09-09
