설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,그늘막유형,세부위치,설치년도,전체높이,펼침지름,관리기관명,관리기관전화번호,데이터기준일자
숨쉬는 순두부 앞,대구광역시,달서구,대구광역시 달서구 상화로 38,대구광역시 달서구 대곡동 90,35.8081653,128.517965,접이식그늘막,,,,,대구광역시 달서구,,2026-07-03
죽전네거리 교통섬 1번출구 방면,대구광역시,달서구,대구광역시 달서구 달구벌대로 1545,대구광역시 달서구 죽전동 273-6,35.85037236,128.5360902,접이식그늘막,,,,,대구광역시 달서구,,2026-07-03
호정포레스트 아파트 앞,대구광역시,달서구,대구광역시 달서구 갈밭남로 17,대구광역시 달서구 대곡동 1103,35.79926159,128.5305382,접이식그늘막,,,,,대구광역시 달서구,,2026-07-03
대곡메디컬 빌딩 앞,대구광역시,달서구,대구광역시 달서구 갈밭로 6,대구광역시 달서구 대곡동 1082-1,35.80079079,128.532694,접이식그늘막,,,,,대구광역시 달서구,,2026-07-03
대곡경로당 앞,대구광역시,달서구,대구광역시 달서구 한실로6길 103,대구광역시 달서구 대곡동 1118,35.79843011,128.5296582,접이식그늘막,,,,,대구광역시 달서구,,2026-07-03
죽전네거리 교통섬 2번출구 방면,대구광역시,달서구,대구광역시 달서구 와룡로 185,대구광역시 달서구 감삼동 438-7,35.84927604,128.5366944,접이식그늘막,,,,,대구광역시 달서구,,2026-07-03
풍국면 앞,대구광역시,달서구,대구광역시 달서구 상화로 203,대구광역시 달서구 상인동 1464-6,35.81030899,128.5363314,접이식그늘막,,,,,대구광역시 달서구,,2026-07-03
강창역1번 출구 앞,대구광역시,달서구,대구광역시 달서구 달구벌대로 1009,대구광역시 달서구 호산동 294-4,35.85337429,128.4776748,접이식그늘막,,,,,대구광역시 달서구,,2026-07-03
성서노인 종합복지관 앞,대구광역시,달서구,대구광역시 달서구 선원로 203,대구광역시 달서구 용산동 505-4,35.85950879,128.5149226,접이식그늘막,,,,,대구광역시 달서구,,2026-07-03
성서국민체육센터 앞,대구광역시,달서구,대구광역시 달서구 선원로 133,대구광역시 달서구 이곡동 1325,35.86156411,128.5058527,접이식그늘막,,,,,대구광역시 달서구,,2026-07-03
옷박골네거리 대구은행 앞,대구광역시,달서구,대구광역시 달서구 용산로 235,대구광역시 달서구 용산동 930-3,35.85849113,128.5302712,접이식그늘막,,,,,대구광역시 달서구,,2026-07-03
도원네거리 롯데리아 앞,대구광역시,달서구,대구광역시 달서구 도원로 30,대구광역시 달서구 도원동 1432-2,35.80721515,128.5353427,접이식그늘막,,,,,대구광역시 달서구,,2026-07-03
진천네거리 수치과앞,대구광역시,달서구,대구광역시 달서구 월배로 89,대구광역시 달서구 진천동 581-3,35.8144376,128.524155,접이식그늘막,,,,,대구광역시 달서구,,2026-07-03
화성아파트 앞,대구광역시,달서구,대구광역시 달서구 비슬로 2731,대구광역시 달서구 유천동 396,35.8103860058,128.5136063772,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
프라임 동물병원 앞,대구광역시,달서구,대구광역시 달서구 비슬로 2746,대구광역시 달서구 대곡동 964,35.81033338,128.515297979,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
천년이회 앞,대구광역시,달서구,대구광역시 달서구 상화로 201,대구광역시 달서구 상인동 1463-7,35.81031807,128.535905,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
용산환승 공영주차장 앞,대구광역시,달서구,대구광역시 달서구 달구벌대로 1476,대구광역시 달서구 용산동 215-9,35.8489652596,128.5283915123,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
감삼역 1번 출구 앞,대구광역시,달서구,대구광역시 달서구 달구벌대로 1663,대구광역시 달서구 감삼동 61-9,35.8545886,128.5476989,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
월배시장 건너 대구은행 앞,대구광역시,달서구,대구광역시 달서구 월배로 109,대구광역시 달서구 진천동 530-8,35.8147624,128.5262545,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
수목원 입구,대구광역시,달서구,대구광역시 달서구 화암로 342,대구광역시 달서구 대곡동 284,35.8006989642,128.5200044084,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
도원네거리 파리바게트 앞,대구광역시,달서구,대구광역시 달서구 도원로 29,대구광역시 달서구 도원동 1436-2,35.80715643,128.5360311,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
강창역 3번 출구 앞,대구광역시,달서구,대구광역시 달서구 달구벌대로 1014,대구광역시 달서구 호산동 102-2,35.85307841,128.4783438,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
월드마크웨스트엔드 앞,대구광역시,달서구,대구광역시 달서구 와룡로 169,대구광역시 달서구 감삼동 461,35.84873231,128.5363891,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
성서네거리 파리바게트 앞,대구광역시,달서구,대구광역시 달서구 달구벌대로 1282,대구광역시 달서구 이곡동 1000-45,35.85126189,128.507614,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
용산네거리 타이어뱅크 앞,대구광역시,달서구,대구광역시 달서구 달구벌대로 1498,대구광역시 달서구 감삼동 620-14,35.84911451,128.5310719,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
두리봉네거리 교통섬,대구광역시,달서구,대구광역시 달서구 성당로 23,대구광역시 달서구 성당동 211-1,35.83942516,128.558633,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
계명대학교 동산병원,대구광역시,달서구,대구광역시 달서구 달구벌대로 1035,대구광역시 달서구 신당동 1000-2,35.85388564,128.4801315,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
국민연금네거리 공차 앞,대구광역시,달서구,대구광역시 달서구 계대동문로 123,대구광역시 달서구 이곡동 1192,35.85578072,128.5064521,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
달서구 치매 안심센터 앞,대구광역시,달서구,대구광역시 달서구 와룡로 106,대구광역시 달서구 본리동 64-1,35.842085,128.5376247,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
대곡초등학교 삼거리,대구광역시,달서구,대구광역시 달서구 도원로 46,대구광역시 달서구 도원동 1442,35.80460189,128.5343185,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
월배아이파크 2차 네거리,대구광역시,달서구,대구광역시 달서구 조암남로32길 40,대구광역시 달서구 대천동 1042,35.8204888,128.5158422,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
서부교회 앞,대구광역시,달서구,대구광역시 달서구 달구벌대로 1916,대구광역시 달서구 두류동 1106-14,35.8622482,128.573900,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
용산네거리 향군회관 앞,대구광역시,달서구,대구광역시 달서구 달구벌대로 1491,대구광역시 달서구 용산동 215-33,35.849650,128.530100,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
이월드 정문 앞,대구광역시,달서구,대구광역시 달서구 두류공원로 200,대구광역시 달서구 두류동 산 302-11,35.85485542,128.564821,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
성서농협하나로마트 파리바게트 앞,대구광역시,달서구,대구광역시 달서구 용산로 147,대구광역시 달서구 용산동 268-3,35.850800,128.529800,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
월촌역 스타벅스 앞,대구광역시,달서구,대구광역시 달서구 월배로 315,대구광역시 달서구 송현동 1914-11,35.82401852,128.5451993,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
호산초등학교 네거리 앞,대구광역시,달서구,대구광역시 달서구 달서대로109길 116,대구광역시 달서구 호산동 357-57,35.849070469,128.4790048742,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
월배초등학교 앞,대구광역시,달서구,대구광역시 달서구 월배로 129,대구광역시 달서구 진천동 101-5,35.815530,128.5282107139,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
한실초등학교 네거리 앞,대구광역시,달서구,대구광역시 달서구 한실로6길 108,대구광역시 달서구 대곡동 1106,35.7983193143,128.5285638828,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
강창역 2번출구 앞,대구광역시,달서구,대구광역시 달서구 달구벌대로 1014,대구광역시 달서구 호산동 102-2,35.853074,128.478340,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
성서홈플러스 앞,대구광역시,달서구,대구광역시 달서구 달구벌대로 1467,대구광역시 달서구 용산동 230-11,35.849452,128.527400,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
와룡시장 입구,대구광역시,달서구,대구광역시 달서구 성서서로 343,대구광역시 달서구 신당동 1788-5,35.8558015089,128.4995975563,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
상인역 8번출구 앞,대구광역시,달서구,대구광역시 달서구 월곡로 294-2,대구광역시 달서구 상인동 70-3,35.819653,128.537660,스마트그늘막,,,,,대구광역시 달서구,,2026-07-03
