설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,그늘막유형,세부위치,설치년도,전체높이,펼침지름,관리기관명,관리기관전화번호,데이터기준일자
설화명곡역 교통섬,대구광역시,달성군,대구광역시 달성군 화원읍 설화본길 36,대구광역시 달성군 화원읍 설화리 565-1,35.798587,128.489434,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
화원 명곡우체국,대구광역시,달성군,대구광역시 달성군 화원읍 명천로 145,대구광역시 달성군 화원읍 천내리 811,35.800872,128.502518,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
화원읍사무소 앞,대구광역시,달성군,대구광역시 달성군 화원읍 비슬로 2594,대구광역시 달성군 화원읍 천내리 426-1,35.804233,128.500701,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
화남파출소 맞은편(엘리베이터),대구광역시,달성군,대구광역시 달성군 화원읍 설화본길 28,대구광역시 달성군 화원읍 설화리 900-6,35.793470,128.484987,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
농협달성유통센터 앞(교통섬),대구광역시,달성군,대구광역시 달성군 화원읍 설화본길 28,대구광역시 달성군 화원읍 설화리 900-6,35.793470,128.484987,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
LH홍보관,대구광역시,달성군,대구광역시 달성군 화원읍 설화본길 36,대구광역시 달성군 화원읍 설화리 565,35.796864,128.489131,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
LH홍보관 맞은편,대구광역시,달성군,대구광역시 달성군 화원읍 설화본길 36,대구광역시 달성군 화원읍 설화리 565,35.796864,128.489131,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
화원삼거리,대구광역시,달성군,대구광역시 달성군 화원읍 화원로 75,대구광역시 달성군 화원읍 천내리 252-6,35.803388,128.497448,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
명곡우체국 맞은편,대구광역시,달성군,대구광역시 달성군 화원읍 명천로 145,대구광역시 달성군 화원읍 천내리 811,35.800872,128.502518,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
화원농협 명곡지점 맞은편,대구광역시,달성군,대구광역시 달성군 화원읍 명곡로 6길 20,대구광역시 달성군 화원읍 명곡리 145,35.798161,128.497742,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
롯데하이마트 앞,대구광역시,달성군,대구광역시 달성군 화원읍 본리서로 5,대구광역시 달성군 화원읍 본리리 14-4,35.803896,128.505857,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
삼성디지털프라자,대구광역시,달성군,대구광역시 달성군 화원읍 본리서로 5,대구광역시 달성군 화원읍 본리리 14-4,35.803896,128.505857,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
하이카프라즈 맞은편 횡단보도,대구광역시,달성군,대구광역시 달성군 화원읍 화암로 11,대구광역시 달성군 화원읍 명곡리 939-21,35.797972,128.490557,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
LH대구경북본부 분양홍보관 맞은편 횡단보도,대구광역시,달성군,대구광역시 달성군 화원읍 명천로 257,대구광역시 달성군 화원읍 명곡리 254,35.797602,128.490948,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
설화명곡역 3번출구,대구광역시,달성군,대구광역시 달성군 화원읍 비슬로 2476,대구광역시 달성군 화원읍 설화리 562-1,35.798673,128.489259,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
설화명곡역 4번출구,대구광역시,달성군,대구광역시 달성군 화원읍 설화로 35,대구광역시 달성군 화원읍 설화리 565-1,35.798587,128.489434,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
화원농협 명곡지점 앞,대구광역시,달성군,대구광역시 달성군 화원읍 화암로 71,대구광역시 달성군 화원읍 명곡리 110-4,35.798036,128.496302,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
열쇠가게 앞,대구광역시,달성군,대구광역시 달성군 화원읍 비슬로 2569-4,대구광역시 달성군 화원읍 천내리 154-5,35.803611,128.497910,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
세븐일레븐 앞,대구광역시,달성군,대구광역시 달성군 논공읍 비슬로366길 36,대구광역시 달성군 논공읍 금포리 1382-1,35.773550,128.426779,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
금포초등학교 건너편,대구광역시,달성군,대구광역시 달성군 논공읍 논공중앙로 142,대구광역시 달성군 논공읍 금포리 1385-5,35.728292,128.450296,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
논공삼거리 대구달성1차 산업단지쪽 교통섬,대구광역시,달성군,대구광역시 달성군 논공읍 남리길 22,대구광역시 달성군 논공읍 남리 577-93,35.725196,128.448902,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
논공삼거리 공원쪽 교통섬,대구광역시,달성군,대구광역시 달성군 논공읍 남리길 22,대구광역시 달성군 논공읍 남리 577-93,35.725196,128.448902,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
논공농협 맞은편 정자 앞,대구광역시,달성군,대구광역시 달성군 논공읍 논공로 699,대구광역시 달성군 논공읍 북리 1047-3,35.728027,128.448717,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
세오프라자 앞,대구광역시,달성군,대구광역시 달성군 논공읍 비슬로 1894,대구광역시 달성군 논공읍 금포리 936-7,35.779232,128.431040,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
논공공단출장소 맞은편,대구광역시,달성군,대구광역시 달성군 논공읍 논공중앙로34길 26,대구광역시 달성군 논공읍 북리 476-5,35.727449,128.454511,스마트그늘막,,,,,대구광역시 달성군,,2026-06-24
