설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,그늘막유형,세부위치,설치년도,전체높이,펼침지름,관리기관명,관리기관전화번호,데이터기준일자
종각네거리,대구광역시,중구,대구광역시 중구 동덕로 167,대구광역시 중구 동인동2가 74-15,35.8696791,128.603558,접이식그늘막,,2018,,,대구광역시 중구청,053-661-2897,2026-07-01
동인네거리 북편,대구광역시,중구,,대구광역시 중구 동인동1가 405-1,35.87186488,128.604389,접이식그늘막,,2018,,,대구광역시 중구청,053-661-2897,2026-07-01
동인네거리 남편,대구광역시,중구,,대구광역시 중구 동인동1가 405-1,35.87186488,128.604389,접이식그늘막,,2018,,,대구광역시 중구청,053-661-2897,2026-07-01
동대구신협 맞은편,대구광역시,중구,대구광역시 중구 국채보상로 743,대구광역시 중구 동인동4가 450-7,35.86860964,128.6118329,접이식그늘막,,2019,,,대구광역시 중구청,053-661-2897,2026-07-01
종각네거리 북동편,대구광역시,중구,대구광역시 중구 국채보상로 673,대구광역시 중구 동인동2가 108-17,35.86935918,128.6044415,접이식그늘막,,2019,,,대구광역시 중구청,053-661-2897,2026-07-01
동부교회 앞,대구광역시,중구,대구광역시 중구 달구벌대로 2229,대구광역시 중구 삼덕동3가 371-5,35.86251371,128.6071022,접이식그늘막,,2018,,,대구광역시 중구청,053-661-2897,2026-07-01
번개시장 맞은편,대구광역시,중구,,대구광역시 중구 태평로1가 14-2,35.87409843,128.598409,접이식그늘막,,2017,,,대구광역시 중구청,053-661-2897,2026-07-01
한국투자증권 맞은편,대구광역시,중구,,대구광역시 중구 봉산동 137-12,35.86454887,128.596704,접이식그늘막,,2019,,,대구광역시 중구청,053-661-2897,2026-07-01
영플라자 앞,대구광역시,중구,,대구광역시 중구 사일동 17-7,35.8711051,128.5941562,접이식그늘막,,2018,,,대구광역시 중구청,053-661-2897,2026-07-01
라이프상가 아파트 앞,대구광역시,중구,,대구광역시 중구 태평로1가 1-197,35.87479724,128.5966312,접이식그늘막,,2018,,,대구광역시 중구청,053-661-2897,2026-07-01
쌈지공원 3.1만세계단 앞,대구광역시,중구,,대구광역시 중구 동산동 258,35.8676631,128.5866227,접이식그늘막,,2017,,,대구광역시 중구청,053-661-2897,2026-07-01
계산성당 교통섬,대구광역시,중구,,대구광역시 중구 동산동 258,35.8676631,128.5866227,접이식그늘막,,2017,,,대구광역시 중구청,053-661-2897,2026-07-01
현대백화점,대구광역시,중구,대구광역시 중구 달구벌대로 2077,대구광역시 중구 계산동2가 200,35.86662496,128.5906235,접이식그늘막,,2018,,,대구광역시 중구청,053-661-2897,2026-07-01
서성네거리 북동편,대구광역시,중구,,대구광역시 중구 서성로2가 14-3,35.87020046,128.5875163,접이식그늘막,,2019,,,대구광역시 중구청,053-661-2897,2026-07-01
동산네거리 북동편,대구광역시,중구,,대구광역시 중구 시장북로 136-6,35.87083191,128.5825927,접이식그늘막,,2019,,,대구광역시 중구청,053-661-2897,2026-07-01
큰장네거리 교통섬,대구광역시,중구,대구광역시 중구 큰장로 128-1,대구광역시 중구 대신동 1038,35.86965456,128.5793067,접이식그늘막,,2017,,,대구광역시 중구청,053-661-2897,2026-07-01
대신e편한세상 101동 앞,대구광역시,중구,,대구광역시 중구 대신동 2011,35.86357965,128.5774354,접이식그늘막,,2019,,,대구광역시 중구청,053-661-2897,2026-07-01
대신센트럴자이 101동 앞,대구광역시,중구,,대구광역시 중구 대신동 2011,35.86357965,128.5774354,접이식그늘막,,2019,,,대구광역시 중구청,053-661-2897,2026-07-01
큰장네거리 북동편,대구광역시,중구,대구광역시 중구 국채보상로 지하 470,대구광역시 중구 시장북로 136-5,35.87093847,128.5821952,접이식그늘막,,2019,,,대구광역시 중구청,053-661-2897,2026-07-01
달성공원네거리 남서편,대구광역시,중구,대구광역시 중구 달성로 91,대구광역시 중구 시장북로 60-5,35.87321981,128.5819905,접이식그늘막,,2019,,,대구광역시 중구청,053-661-2897,2026-07-01
명덕역 2번출구 교통섬,대구광역시,중구,대구광역시 중구 남산로 2,,35.85668239,128.5832256,접이식그늘막,,2019,,,대구광역시 중구청,053-661-2897,2026-07-01
명덕역 5번출구 교통섬,대구광역시,중구,대구광역시 중구 명덕로 지하 185,,35.86935918,128.6044415,접이식그늘막,,2019,,,대구광역시 중구청,053-661-2897,2026-07-01
중앙대로 삼정그린코아 맞은편,대구광역시,중구,대구광역시 중구 중앙대로 338,,35.86320517,128.5934808,접이식그늘막,,2017,,,대구광역시 중구청,053-661-2897,2026-07-01
남문시장네거리 북동편 교통섬,대구광역시,중구,,대구광역시 중구 남산동 694-4,35.86130482,128.5928432,접이식그늘막,,2020,,,대구광역시 중구청,053-661-2897,2026-07-01
남문시장네거리 교통섬,대구광역시,중구,,대구광역시 중구 남산동 651-23,35.86106768,128.592685,접이식그늘막,,2017,,,대구광역시 중구청,053-661-2897,2026-07-01
중앙대로 삼정그린코아 앞,대구광역시,중구,,대구광역시 중구 남산동669-17,35.86330509,128.593057,접이식그늘막,,2017,,,대구광역시 중구청,053-661-2897,2026-07-01
남산향수길 입구 교통섬,대구광역시,중구,대구광역시 중구 명륜로 50,대구광역시 중구 남산동 616-40,35.86227472,128.5899822,접이식그늘막,,2018,,,대구광역시 중구청,053-661-2897,2026-07-01
남산역 앞,대구광역시,중구,,대구광역시 중구 남산동 2121-25,35.85676709,128.5829927,접이식그늘막,,2019,,,대구광역시 중구청,053-661-2897,2026-07-01
청라언덕역 4번 출구 교통섬,대구광역시,중구,대구광역시 중구 남산로 80,,35.86415067,128.5823669,접이식그늘막,,2017,,,대구광역시 중구청,053-661-2897,2026-07-01
계명네거리 교통섬,대구광역시,중구,대구광역시 중구 명덕로 111,,35.85684059,128.5824351,접이식그늘막,,2017,,,대구광역시 중구청,053-661-2897,2026-07-01
남산휴먼시아 104동 앞,대구광역시,중구,대구광역시 중구 달구벌대로 1960,,35.86312548,128.5781628,접이식그늘막,,2019,,,대구광역시 중구청,053-661-2897,2026-07-01
남산그린타운 106동 앞,대구광역시,중구,대구광역시 중구 달구벌대로 1950,,35.86287995,128.5767438,접이식그늘막,,2019,,,대구광역시 중구청,053-661-2897,2026-07-01
남산자이하늘채 101동 앞,대구광역시,중구,,대구광역시 중구 남산동 2999-36,35.86008586,128.5748633,접이식그늘막,,2020,,,대구광역시 중구청,053-661-2897,2026-07-01
웨딩거리 교통섬,대구광역시,중구,,대구광역시 중구 대봉동 37-4,35.8583444,128.6054359,접이식그늘막,,2019,,,대구광역시 중구청,053-661-2897,2026-07-01
동부교회 맞은편,대구광역시,중구,,대구광역시 중구 대봉동 12-58,35.86219671,128.6067455,접이식그늘막,,2019,,,대구광역시 중구청,053-661-2897,2026-07-01
삼덕네거리 남동편,대구광역시,중구,대구광역시 중구 달구벌대로 2194,,35.86265962,128.6031947,접이식그늘막,,2018,,,대구광역시 중구청,053-661-2897,2026-07-01
건들바위네거리,대구광역시,중구,,대구광역시 중구 대봉동 393-5,35.85597916,128.5981285,접이식그늘막,,2018,,,대구광역시 중구청,053-661-2897,2026-07-01
남문시장네거리 남동편 교통섬,대구광역시,중구,,대구광역시 중구 남산동 739-38,35.86116138,128.5928159,접이식그늘막,,2021,,,대구광역시 중구청,053-661-2897,2026-07-01
