설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,그늘막유형,세부위치,설치년도,전체높이,펼침지름,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
하나로마트 앞 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 하효동 641-2,33.26071705,126.617257,접이식그늘막,,2020,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
미광철물 앞 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 하효동 631-6,33.2605143,126.6179839,접이식그늘막,,2020,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
GS 편의점 앞 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 하효동 631-6,33.260510,126.6179839,접이식그늘막,,2022,3.3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
표선초등학교 후문 통행로,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 표선면 표선리 458-3,33.32876774,126.8348634,접이식그늘막,,2023,3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
가마초등학교 앞 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 표선면 세화리 2491,33.30786717,126.8003989,접이식그늘막,,2024,3.3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
가마초등학교 앞 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 표선면 세화리 1540-5,33.3065572,126.7993911,접이식그늘막,,2024,3.3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
CJ대한통운 대리점 맞은편 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 토평동 900-2,33.25717095,126.584991,접이식그늘막,,2020,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
비석거리 교통섬 북측,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 토평동 865-2,33.254922,126.5772252,접이식그늘막,,2022,3.4,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
비석거리 교차로 교통섬 남측,제주특별자치도,서귀포시,제주특별자치도 서귀포시 검은여로 176-47 (토평동),제주특별자치도 서귀포시 토평동 3245-48,33.25695846,126.590200,접이식그늘막,,2022,3.4,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
영천사랑가든 앞,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 토평동 1284-3,33.268052,126.5897124,접이식그늘막,,2020,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
식당 해수정 후문,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 토평동 1284-3,33.26800928,126.5897123,접이식그늘막,,2020,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
카페50번길 앞,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 토평동 1280-3,33.26848362,126.5899089,접이식그늘막,,2020,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
성진공사 옆,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 토평동 1046-2,33.25770239,126.585928,접이식그늘막,,2020,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
안덕초등학교 정문 앞 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 안덕면 화순리 1293-8,33.2493116,126.335848,접이식그늘막,,2023,3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
안덕초등학교 정문 앞 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 안덕면 화순리 1291-11,33.2495089,126.3355798,접이식그늘막,,2023,3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
안덕119센터 앞 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 안덕면 화순리 1160-16,33.2509445,126.3308591,접이식그늘막,,2023,3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
안덕119센터 맞은편 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 안덕면 화순리 1158-12,33.25041236,126.3312719,접이식그늘막,,2023,3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
덕수초등학교 앞 교차로 횡단보도,제주특별자치도,서귀포시,제주특별자치도 서귀포시 안덕면 덕수동로 154-14,제주특별자치도 서귀포시 안덕면 덕수리 1296,33.26685978,126.3183963,접이식그늘막,,2024,3.3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
성산고등학교 정문 앞 횡단보도,제주특별자치도,서귀포시,제주특별자치도 서귀포시 성산읍 오조로 33,제주특별자치도 서귀포시 성산읍 오조리 2210,33.45735274,126.9149714,접이식그늘막,,2023,3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
수산초등학교 정문 앞,제주특별자치도,서귀포시,제주특별자치도 서귀포시 성산읍 수시로 9,제주특별자치도 서귀포시 성산읍 수산리 580,33.44713494,126.8848955,접이식그늘막,,2023,3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
성산초등학교 정문 앞,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 성산읍 성산리 333-9,33.46746491,126.9312402,접이식그늘막,,2022,3.3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
축협 플라자 앞,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 성산읍 고성리 352-59,33.44869775,126.9193967,접이식그늘막,,2022,3.4,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
성산보건지조 입구,제주특별자치도,서귀포시,제주특별자치도 서귀포시 성산읍 고성오조로 42,제주특별자치도 서귀포시 성산읍 고성리 336-2,33.44655494,126.9157478,접이식그늘막,,2019,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
고성우체국 사거리,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 성산읍 고성리 1093-13,33.44690642,126.9125612,접이식그늘막,,2019,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
대일추어탕 앞 횡단보도,제주특별자치도,서귀포시,제주특별자치도 서귀포시 일주동로 8710 (서홍동),제주특별자치도 서귀포시 서홍동 442-8,33.25286511,126.5578934,접이식그늘막,,2019,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
구)북타임 앞 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 서홍동 441-39,33.2533254,126.560824,접이식그늘막,,2018,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
기아자동차 앞,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 서홍동 253-9,33.2642607,126.5584996,접이식그늘막,,2020,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
